region,sample,yield,uncertainty
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D0lep_T0_L0_distmWW_J2,Signal,900.347192939,109.773529192
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,zjets,1.36126036284,0.975249557264
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,Bkg,149.764533252,11.7108212406
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,MC,149.764533252,11.7108212406
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,diboson,9.27239586662,3.77723226085
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,wjets,109.650371484,13.5630544197
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,Signal,0.0,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,S/sqrt(S+B),0.0,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,monoSwwallzp1000dm200dh160,0.0,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,stop,11.0272861985,4.55779882105
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,S/B,0.0,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,ttbar,18.439070227,5.37051581803
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,SignalExpected,0.0,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,data,142.0,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,VHbb,0.0141491127708,0.00976686819873
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D2lep_T0_L2_distmWW_J1,VHbb,0.00311221914627,0.00196711876081
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D2lep_T0_L2_distmWW_J1,Bkg,23.6440343668,3.54837518502
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D2lep_T0_L2_distmWW_J1,S/B,0.0,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D2lep_T0_L2_distmWW_J1,MC,23.6440343668,3.54837518502
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D2lep_T0_L2_distmWW_J1,Signal,0.0,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D2lep_T0_L2_distmWW_J1,S/sqrt(S+B),0.0,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D2lep_T0_L2_distmWW_J1,diboson,2.08628187095,0.818078544034
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D2lep_T0_L2_distmWW_J1,monoSwwallzp1000dm200dh160,0.0,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D2lep_T0_L2_distmWW_J1,SignalExpected,0.0,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D2lep_T0_L2_distmWW_J1,zjets,21.5546402767,3.47816240775
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D2lep_T0_L2_distmWW_J1,data,21.0,0.0
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,VHbb,4.63653939673,1.51397667583
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,Bkg,63079.144967,253.2149148
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,MC,63090.5825719,253.237400168
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,wjets,50798.2507427,1404.21489217
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,Signal,11.4376048713,4.07456405269
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,stop,2329.2225651,296.867583704
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,S/sqrt(S+B),0.045535784208,0.0
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,diboson,2061.68839775,415.429420404
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,monoSwwallzp1000dm200dh160,11.4376048713,4.07456405269
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,S/B,0.000181321495041,0.0
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,zjets,1312.08937591,49.3043692921
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,ttbar,6573.25734615,1012.83054836
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,SignalExpected,11.4376048713,4.07456405269
