region,sample,yield,uncertainty
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D0lep_T0_L0_distmWW_J2,diboson,2949.20183426,840.162186747
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,zjets,2.11789243516,4.51917834153
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,Bkg,196.747566037,180.993742866
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,MC,196.747566037,180.993742866
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,diboson,15.474875605,30.0508483796
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,wjets,135.155990796,82.0831981939
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,Signal,0.0,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,S/sqrt(S+B),0.0,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,monoSwwallzp1000dm200dh160,0.0,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,stop,18.5857291171,39.1756704482
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,S/B,0.0,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,ttbar,25.3952968172,31.6616728463
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,SignalExpected,0.0,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,data,142.0,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,VHbb,0.0177812666128,0.0279818897991
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D2lep_T0_L2_distmWW_J1,VHbb,0.00482890076305,0.00809897340032
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D2lep_T0_L2_distmWW_J1,Bkg,27.3386307347,22.0951059346
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D2lep_T0_L2_distmWW_J1,S/B,0.0,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D2lep_T0_L2_distmWW_J1,MC,27.3386307347,22.0951059346
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D2lep_T0_L2_distmWW_J1,Signal,0.0,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D2lep_T0_L2_distmWW_J1,S/sqrt(S+B),0.0,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D2lep_T0_L2_distmWW_J1,diboson,3.02036723665,4.67782461989
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D2lep_T0_L2_distmWW_J1,monoSwwallzp1000dm200dh160,0.0,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D2lep_T0_L2_distmWW_J1,SignalExpected,0.0,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D2lep_T0_L2_distmWW_J1,zjets,24.3134345973,17.7647271007
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D2lep_T0_L2_distmWW_J1,data,21.0,0.0
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,VHbb,5.02162777072,1.90757480077
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,Bkg,65936.6798686,8348.45206763
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,MC,65955.7405446,8371.86323479
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,wjets,52954.9570282,5873.61857343
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,Signal,19.0606759988,30.2499362203
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,stop,2511.76916198,705.301200895
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,S/sqrt(S+B),0.0742184702457,0.0
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,diboson,2261.49698879,711.695410167
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,monoSwwallzp1000dm200dh160,19.0606759988,30.2499362203
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,S/B,0.000289075459014,0.0
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,zjets,1301.65940687,348.178333959
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,ttbar,6901.77565498,1533.00538526
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,SignalExpected,19.0606759988,30.2499362203
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,data,63073.0,0.0
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,zjets,98.2978984951,48.2854434415
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,MC,106.829461688,55.2520783462
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,Bkg,106.829461688,55.2520783462
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,Signal,0.0,0.0
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,S/sqrt(S+B),0.0,0.0
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,ttbar,0.229460105208,0.073502407869
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,S/B,0.0,0.0
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,diboson,8.28960947921,7.54101516913
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,SignalExpected,0.0,0.0
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,monoSwwallzp1000dm200dh160,0.0,0.0
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,data,96.0,0.0
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,VHbb,0.0124936088019,0.0136784552713
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,Bkg,647.016448618,272.859419145
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,MC,649.355880214,275.899496224
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,ttbar,127.378278237,54.6070611102
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,monoSwwallzp1000dm200dh160,2.33943159525,4.08384390867
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,stop,43.6822766412,34.9643329379
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,Signal,2.33943159525,4.08384390867
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,S/sqrt(S+B),0.0918055553696,0.0
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,zjets,11.5760819941,17.1030217684
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,S/B,0.00361572198086,0.0
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,wjets,427.950465856,152.507458126
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,diboson,36.3831019487,36.4366094665
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,VHbb,0.0462439413416,0.0339409159517
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,SignalExpected,2.33943159525,4.08384390867
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,data,595.0,0.0
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,Bkg,12172.780375,2151.62888411
