region,sample,yield,uncertainty
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,MC,144.009694829,11.222059929
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,monoSwwallzp1000dm200dh160,0.0,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,VHbb,0.0100969266807,0.00929118226207
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,Signal,0.0,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,S/sqrt(S+B),0.0,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,diboson,7.1595951763,4.23142068365
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,stop,8.31286327403,4.87139766485
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,S/B,0.0,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,ttbar,16.9056221188,6.3380969016
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,wjets,110.482057291,15.3744215139
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,data,142.0,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D2lep_T0_L2_distmWW_J1,VHbb,0.00285400730999,0.0022677616501
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D2lep_T0_L2_distmWW_J1,Bkg,21.3226428152,3.47686263064
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D2lep_T0_L2_distmWW_J1,S/B,0.0,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D2lep_T0_L2_distmWW_J1,MC,21.3226428152,3.47686263064
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D2lep_T0_L2_distmWW_J1,Signal,0.0,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D2lep_T0_L2_distmWW_J1,S/sqrt(S+B),0.0,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D2lep_T0_L2_distmWW_J1,diboson,1.69606016309,0.911767119234
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D2lep_T0_L2_distmWW_J1,monoSwwallzp1000dm200dh160,0.0,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D2lep_T0_L2_distmWW_J1,zjets,19.6237286448,3.41643478397
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D2lep_T0_L2_distmWW_J1,data,21.0,0.0
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,VHbb,4.89054279436,1.70089711403
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,Bkg,63073.5184689,254.558185927
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,MC,63084.479073,253.7236015
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,wjets,50691.6173305,1956.56925556
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,Signal,10.9606040668,7.85380676514
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,stop,2356.14006824,427.879250621
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,S/sqrt(S+B),0.0436388431719,0.0
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,diboson,2103.84560305,493.16924788
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,monoSwwallzp1000dm200dh160,10.9606040668,7.85380676514
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,S/B,0.000173775053825,0.0
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,zjets,1200.81938417,97.5965266474
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,ttbar,6716.20554012,1318.13721538
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,data,63073.0,0.0
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,zjets,88.2403013221,8.62553707209
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,MC,94.6928400529,8.49024450135
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,Bkg,94.6928400529,8.49024450135
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,Signal,0.0,0.0
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,S/sqrt(S+B),0.0,0.0
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,ttbar,0.23336661801,0.0743073952577
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,S/B,0.0,0.0
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,diboson,6.21024548198,2.06477916756
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,monoSwwallzp1000dm200dh160,0.0,0.0
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,data,96.0,0.0
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,VHbb,0.00892663079065,0.00435817630801
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,Bkg,591.926057282,23.9557269506
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,MC,593.430902669,24.1233269073
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,ttbar,116.339845468,25.4585202008
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,monoSwwallzp1000dm200dh160,1.50484538733,1.90420677686
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,stop,34.8595031004,8.93073582281
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,Signal,1.50484538733,1.90420677686
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,S/sqrt(S+B),0.0617741534079,0.0
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,zjets,8.88898422726,5.25351418545
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,S/B,0.00254228609945,0.0
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,wjets,404.769781769,46.1099416584
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,diboson,27.0289935675,10.1022704925
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,VHbb,0.0389491500557,0.0163740919958
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,data,595.0,0.0
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,Bkg,11656.9454748,108.227656737
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,MC,11656.9454748,108.227656737
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,diboson,459.176264774,124.188398125
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,zjets,11185.4786879,172.437594202
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,ttbar,6.95981340949,5.161695752
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,stop,0.928748497146,1.71470743414
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,S/B,0.0,0.0
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,S/sqrt(S+B),0.0,0.0
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,VHbb,1.41183068519,0.505389539829
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,monoSwwallzp1000dm200dh160,0.0,0.0
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,data,11656.0,0.0
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,Signal,0.0,0.0
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,wjets,2.99012945065,2.16018820446
