mzp,mdm,ms,obs,exp,exp_p1,exp_m1,type
1000,200,235,-0.2029356543936805,0.5704471370219734,0.0,0.0,zz
1700,200,185,0.6103771769870879,0.20229486360256746,0.0,0.0,zz
1700,200,285,0.18400468643309756,0.8799226316693944,0.0,0.0,ww
500,200,160,1.9703722850710539,2.7383177715672264,0.0,0.0,ww
500,200,160,1.970372285011971,2.738318017635035,0.0,0.0,vv
2100,200,210,-0.3459758011497945,1.3234909035899665,0.0,0.0,vv
1700,200,185,0.5950261079664849,1.5512854057411725,0.0,0.0,vv
1700,200,310,0.6154218667118142,0.7369779906674911,0.0,0.0,ww
1700,200,160,2.1031630139379187,2.132991603891555,0.0,0.0,vv
500,200,310,0.471453116058438,0.24383333465461376,0.0,0.0,zz
1700,200,335,0.6658729362967046,0.5665136191325056,0.0,0.0,ww
1000,200,335,0.7339757810067198,1.013149358044583,0.0,0.0,ww
1000,200,185,0.40011104004327225,2.3066794304012133,0.0,0.0,vv
1000,200,310,0.3210022190833745,1.3885934492525156,0.0,0.0,vv
1700,200,235,0.3105962655164751,1.603981690601329,0.0,0.0,vv
1000,200,310,0.3266906633158811,1.0535416792515424,0.0,0.0,ww
1700,200,260,0.2168378316042849,0.9287553932277945,0.0,0.0,ww
1000,200,235,0.3074437227568401,2.0724886370644753,0.0,0.0,vv
500,200,335,0.5333900229994389,0.7970577164478201,0.0,0.0,vv
500,200,185,0.35249850853539355,1.8821134166273619,0.0,0.0,ww
1000,200,260,0.282352039920224,1.5295499477902001,0.0,0.0,ww
1700,200,335,0.6803337965024835,0.6838106415027337,0.0,0.0,vv
1700,200,235,0.26313854382227486,1.3108732496482531,0.0,0.0,ww
1700,200,360,0.2527187334833438,0.6433054033468295,0.0,0.0,vv
1000,200,360,0.35241525396559886,1.0973665641694146,0.0,0.0,vv
500,200,285,0.2468629752056915,1.177019308989311,0.0,0.0,vv
500,200,285,0.5202373038573039,0.22237431380914602,0.0,0.0,zz
1000,200,285,0.16350045818550285,1.2739608845894936,0.0,0.0,ww
500,200,285,0.173621442900465,1.0256344617136264,0.0,0.0,ww
1000,200,285,0.1617083310460134,1.4886451615991856,0.0,0.0,vv
1000,200,210,-0.35925599906043115,2.516062161691409,0.0,0.0,vv
500,200,210,-0.5527307085650262,1.7254160162609469,0.0,0.0,vv
500,200,310,0.3822629883820646,0.9439875071242237,0.0,0.0,vv
1700,200,285,0.15792333437923356,0.2954831108142922,0.0,0.0,zz
