file           exp             +2sigma         +1sigma         -1sigma         -2sigma         observed
2HDM_2800_600  0.00170593943597   0.00318275   0.00237417   0.00122922   0.000915622   0.00141372248941
2HDM_3000_200  0.0021138211914   0.00394373   0.00294183   0.00152313   0.00113454   0.00178520197715
2HDM_3000_300  0.00206447445069   0.00385166   0.00287315   0.00148757   0.00110806   0.00171120294652
2HDM_3000_400  0.002060732973   0.00384468   0.00286794   0.00148487   0.00110605   0.00174978082918
2HDM_3000_500  0.00200192773292   0.00373497   0.0027861   0.0014425   0.00107449   0.00166675154274
2HDM_3000_600  0.00192473496041   0.00359095   0.00267867   0.00138688   0.00103305   0.00161556430576
2HDM_400_200  2.48467070484   4.63562   3.45794   1.79034   1.33359   2.73310806306
2HDM_400_300  0.113572936125   0.211892   0.158061   0.0818356   0.0609575   0.130751089078
2HDM_400_400  0.03402517946   0.0634803   0.0473532   0.024517   0.0182622   0.0379629060458
2HDM_400_500  0.030102119794   0.0561611   0.0418934   0.0216902   0.0161566   0.0340341972064
2HDM_600_200  0.0211660129633   0.0394891   0.029457   0.0152513   0.0113603   0.0299182341022
2HDM_600_300  0.0473452239236   0.0883314   0.0658909   0.0341149   0.0254114   0.0568303310217
2HDM_600_400  0.330116989154   0.615895   0.459427   0.237868   0.177182   0.401805871244
2HDM_600_500  0.0802497923563   0.149721   0.111684   0.0578244   0.0430721   0.0915795202776
2HDM_600_600  0.0655501465052   0.122296   0.0912268   0.0472325   0.0351825   0.0720503957829
2HDM_800_200  0.00787470203192   0.0146917   0.0109593   0.00567416   0.00422656   0.0102298921354
2HDM_800_300  0.0134965146009   0.0251803   0.0187832   0.00972499   0.00724393   0.0193969872659
2HDM_800_400  0.016496446234   0.0307772   0.0229583   0.0118866   0.00885407   0.0241800535307
2HDM_800_500  0.0306743608095   0.0572287   0.0426898   0.0221026   0.0164637   0.0427069791446
2HDM_800_600  0.0464189743825   0.0866033   0.0646018   0.0334474   0.0249143   0.0627106305455
2HDM_800_700  0.0286225726761   0.0534008   0.0398343   0.0206241   0.0153625   0.040082483033
