      1000        600 3.23488368967  2.87568342698  4.00211980517  2.0720884166  5.36513433781  1.54345236372
      1200        600 0.91442498887  0.89983471363  1.25231072639  0.648381345989  1.67880940459  0.48296352613
      1400        600 0.620878176839  0.631283887972  0.878564689668  0.454874925548  1.17777935694  0.338826330105
      1600        600 0.518988318465  0.579186681869  0.806061714328  0.417335800151  1.08058245383  0.310864108094
      1800        600 0.648852887591  0.796474485075  1.10846428132  0.57390384126  1.48596653322  0.427488283451
      2000        600 0.956117005484  1.1430899102  1.59085099096  0.823660202413  2.13265105696  0.61352561481
      2200        600 1.41078804684  1.70640795137  2.37482634589  1.22956036123  3.18361886993  0.915872834274
      2400        600 2.14687559381  2.61237325877  3.63566905697  1.88235841309  4.87386930456  1.40212764999
      2600        600 3.32622410484  4.0936087762  5.69711940597  2.94967038184  7.63741178099  2.19714323435
      2800        600 5.15616499545  6.29140863724  8.75579281276  4.53330955559  11.7377939096  3.37676099615
      3000        600 7.90260578312  9.82944777261  13.6797855337  7.08265786247  18.338656859  5.27571472168
